qubit,T1_us,T1_err_us,T2_us,T2_err_us
0,344.2477984184904,23.388788645091463,66.10755916167226,2.8970061199780712
1,183.24700602128547,5.050751216384455,190.4953653217543,7.521801800618745
2,278.49639100309207,13.469490534053783,318.9524562977744,15.526725961096085
3,362.2631077017492,25.337314289210255,320.2401852813649,15.714388343851589
4,238.87909024047644,9.71369519763635,215.95563543021976,8.989732650685047
5,377.35984289311756,25.91859435858198,407.60654357589016,21.69269118866487
6,304.2607544394016,15.821931861969425,215.37069605864235,8.713159776645881
7,297.17867098950643,15.775014722907972,109.05005893213789,4.131404706067789
8,256.79742903890235,11.13492847729838,123.34303444573648,4.757598525259969
9,179.22394999371397,4.690417208019163,195.03196788451083,7.850235443839969
10,281.93305127779354,13.580278484852327,187.7867627408704,7.445752288419626
11,290.3705075788254,15.420798549490708,166.11917863621193,6.367645808117897
12,218.51177364441597,7.754708154998496,193.1373613272895,7.662276998538817
13,258.5566047716292,11.752704464196318,360.4192187836581,17.31879949041091
14,193.89352391287156,5.797587750906075,140.92346955533893,5.13386350318204
15,379.8507713869725,27.369380793466252,32.37937355720418,2.0057160935744167
16,139.3466831621498,2.8183489316677206,130.49211225964905,4.742143101879764
17,150.54859340580367,3.381946569694349,46.15555957007457,2.36227034342243
18,82.72815427358358,1.2009357286137323,86.29421006560509,3.2835890874156104
19,132.73751236758724,2.583980552673038,32.614224406665215,1.8789623178864456
20,124.07554592730861,2.2224427798423565,207.30250875870024,8.565123920500165
21,334.3509475258497,20.087461166982358,239.44837622675058,10.102664344693263
22,147.65206178882872,3.3920113582221156,39.30351807933854,2.149734628851833
23,322.48865347135245,19.611963026312093,219.6606763596547,9.655370116552389
24,37.48626597565912,1.6280970223815239,0.0001,
25,122.8652645361432,2.3630677818203165,92.53984561835286,3.4701706439365276
26,6.87072138356985,0.630618050969746,8.874274423997642,3.965641646277839
27,214.02180810370544,7.335769223908254,281.5052077429377,13.377573285404244
28,237.35164106372056,9.319379243582672,193.36850367966682,7.852045770662626
29,171.3315789273229,4.197449766749723,205.33810855452836,8.300753711966912
30,180.01851684152606,4.932362324007703,81.70661783835588,3.2213069099837517
31,142.7733821082763,3.0383269882428237,72.5866175120258,3.0300291062683895
32,214.9743684781193,7.431768468458162,23.26961556624132,1.7853020931214145
33,127.53786690340135,2.3337269421844016,55.85473273339193,2.5467090017960254
34,150.08093881647113,3.1241960028956566,173.85126503589612,6.6447622306739165
35,411.5672871131261,34.17736313975554,557.7802832639323,37.102803944449384
36,224.57464770105634,8.147015809365382,102.43496519036765,3.9751193701865497
37,162.92000367493395,4.165302459653426,23.168506547797456,1.918436255302718
38,106.08938128541062,1.60199417812961,115.90497736011211,4.186121664859682
39,176.55776072756709,4.6645990225538805,254.25989835777685,10.961646766284504
40,189.4061380604507,5.53445813383389,96.76913567263243,3.514584822607125
41,125.29201762953493,2.2945709947883093,26.76990565343647,1.9146602549896263
42,227.99645499511058,8.448645368588354,159.68576460913903,6.0783133173565425
43,174.87587791936343,4.726337659067817,94.20567428979993,3.525086212419569
44,219.15087015059535,7.495557474450084,172.79392291107024,6.329489542203028
45,173.07750710828626,4.459328396448971,115.37985034967919,4.270485469956819
46,220.58037605309767,7.571044731704343,187.06479568859004,7.355225571560975
47,310.25878013274695,16.99360310758586,87.38906475230687,3.4129474525839485
48,243.4187568504248,11.255765253685388,266.9093407082852,13.978013853253417
49,314.8083532042598,19.031777488306087,217.96429688690992,9.719294922884558
50,129.5901028384416,5.274160307725854,83.87139067325509,4.977884457459923
51,174.50039624582277,7.058953449286033,348.9425556854523,25.868872218892097
52,148.05378926614574,3.3200963268339008,80.80452092288759,3.1956642771378414
53,261.53013956380397,12.387135605164682,331.20049798837493,16.324486204249425
54,162.17945676446112,4.191861469133888,203.8687744086309,8.526944049870059
55,214.4763617028899,7.198082723947552,74.7609192942558,3.0165186451425448
56,145.6336180115383,2.942206160207784,115.41924910213727,4.274445082708833
57,172.38362465447693,5.195826867374784,185.49638963097067,8.428495977251371
58,258.91365274575514,20.069936384296582,317.3622223594778,27.708888495087916
59,100.30164106162053,1.5807440698419917,158.15993543351578,5.9134560474281725
60,103.89296951584109,1.6728224304853376,125.0894556056151,4.7635223224672725
61,279.8284764625668,14.577613373989765,248.36497851384567,10.541924531746655
62,107.13510577148334,1.7075801268849005,51.11306549709682,2.4720663929795603
63,231.24575154708845,8.907342861097705,141.3673010581393,5.6230446451126035
64,150.5459216685867,3.447432440122921,140.64411988344486,5.237035918134954
65,325.93888447474336,18.837952833095816,117.0216664641647,4.318331741596914
66,104.47533531511047,1.9217446601110715,115.91843712807625,4.541858800811812
