delay_us,p1
0.0,0.001953125
5.2631578947368425,0.5009765625
10.526315789473685,0.9404296875
15.789473684210527,0.341796875
21.05263157894737,0.13671875
26.315789473684212,0.6943359375
31.578947368421055,0.7802734375
36.8421052631579,0.23046875
42.10526315789474,0.294921875
47.36842105263158,0.81640625
52.631578947368425,0.65625
57.89473684210527,0.203125
63.15789473684211,0.4228515625
68.42105263157896,0.7548828125
73.6842105263158,0.515625
78.94736842105263,0.2607421875
84.21052631578948,0.591796875
89.47368421052633,0.716796875
94.73684210526316,0.423828125
100.0,0.275390625
