delay_us,p1
0.0,0.0009765625
5.2631578947368425,0.7763671875
10.526315789473685,0.7138671875
15.789473684210527,0.046875
21.05263157894737,0.78515625
26.315789473684212,0.6259765625
31.578947368421055,0.103515625
36.8421052631579,0.8193359375
42.10526315789474,0.5673828125
47.36842105263158,0.1396484375
52.631578947368425,0.8212890625
57.89473684210527,0.490234375
63.15789473684211,0.1767578125
68.42105263157896,0.8359375
73.6842105263158,0.451171875
78.94736842105263,0.251953125
84.21052631578948,0.83984375
89.47368421052633,0.3916015625
94.73684210526316,0.296875
100.0,0.81640625
