delay_us,p1
0.0,0.0205078125
5.2631578947368425,0.1748046875
10.526315789473685,0.548828125
15.789473684210527,0.8857421875
21.05263157894737,0.9169921875
26.315789473684212,0.671875
31.578947368421055,0.3544921875
36.8421052631579,0.109375
42.10526315789474,0.1787109375
47.36842105263158,0.4375
52.631578947368425,0.7685546875
57.89473684210527,0.87890625
63.15789473684211,0.736328125
68.42105263157896,0.427734375
73.6842105263158,0.2080078125
78.94736842105263,0.19140625
84.21052631578948,0.3818359375
89.47368421052633,0.6357421875
94.73684210526316,0.8154296875
100.0,0.7197265625
